Date,Close,High,Low,Open,Volume
2025-05-16,15.0,15.0,12.199999809265137,14.399999618530273,391575
2025-05-19,15.399999618530273,16.399999618530273,13.800000190734863,14.199999809265137,18985
2025-05-20,15.800000190734863,18.200000762939453,15.0,15.199999809265137,39415
2025-05-21,15.600000381469727,17.0,14.600000381469727,15.399999618530273,10295
2025-05-22,15.800000190734863,15.800000190734863,14.199999809265137,15.399999618530273,2900
2025-05-23,15.800000190734863,17.0,15.0,15.199999809265137,17535
2025-05-27,15.199999809265137,15.600000381469727,14.600000381469727,15.199999809265137,2670
2025-05-28,16.200000762939453,17.200000762939453,14.600000381469727,14.600000381469727,20740
2025-05-29,15.800000190734863,16.600000381469727,15.600000381469727,16.399999618530273,3130
2025-05-30,15.199999809265137,15.800000190734863,14.800000190734863,14.800000190734863,1375
2025-06-02,15.199999809265137,16.0,15.0,16.0,915
2025-06-03,15.800000190734863,17.200000762939453,14.800000190734863,14.800000190734863,24130
2025-06-04,15.800000190734863,17.0,15.399999618530273,16.0,9850
2025-06-05,16.0,17.200000762939453,16.0,16.0,15405
2025-06-06,17.0,17.200000762939453,15.199999809265137,16.200000762939453,17980
2025-06-09,18.200000762939453,18.799999237060547,17.600000381469727,18.0,23685
2025-06-10,18.0,18.799999237060547,17.799999237060547,18.399999618530273,11420
2025-06-11,17.399999618530273,19.0,17.0,17.399999618530273,14675
